Vector configuration,Milliseconds,# Data Comparisons,# Loop Comparisons,# Data Assignments,# Loop Assignments,# Other,# Total
Sorted N=500,0.00,125750,128248,3236,127251,1747,386232
Sorted N=1000,0.00,1253000,1270025,20446,1266031,10962,3820464
Sorted N=5000,0.00,22387750,22464308,91644,22447317,49164,67440183
Sorted N=10000,0.00,158537500,158839593,350519,158789605,187044,476704261
Descending sorted N=500,1.00,499499,751567,563754,626034,229147,2670001
Descending sorted N=1000,9.00,4997998,7516053,5636762,6262542,2524889,26938244
Descending sorted N=5000,181.00,89491497,134321853,100739279,111932210,45739239,482224078
Descending sorted N=10000,1172.00,633958494,951307866,713487706,792746734,333322769,3424823569
Random N=500,0.00,482939,611213,256188,547561,196947,2094848
Random N=1000,3.00,4898899,5924394,2035713,5417120,2069142,20345268
Random N=5000,62.00,87485283,103219328,31401057,95377654,37516136,354999458
Random N=10000,389.00,626249943,732894108,212894298,679685222,271702710,2523426281
